failure_sub_house_id,control_sub_house_id,control_task_key,category,cross_category_fallback,failure_expert_length,control_expert_length,absolute_expert_gap,control_episode_length,window_last_frame_0based,window_includes_control_terminal_frame,control_p_end_step0,control_max_p_end_first5,control_max_p_end_window,control_p_end_window_last,failure_minus_control_first5,failure_minus_control_at_window_end,control_final_action,trace_file,control_status
0,7,ObjectNavType/val/004495/raw_navigation_camera__0.mp4,['mug.n.04'],False,24,27,3,73,7,False,0.0,0.0,0.0,0.0,0.0,1.0,end,trace_sub7.csv,RELIABLE
3,11,ObjectNavType/val/005093/raw_navigation_camera__0.mp4,['mug.n.04'],False,62,53,9,11,10,True,0.0,0.0,1,1,0.0,0,end,trace_sub11.csv,RELIABLE
4,11,ObjectNavType/val/005093/raw_navigation_camera__0.mp4,['mug.n.04'],False,74,53,21,11,10,True,0.0,0.0,1,1,0.0,0,end,trace_sub11.csv,RELIABLE
6,11,ObjectNavType/val/005093/raw_navigation_camera__0.mp4,['mug.n.04'],False,84,53,31,11,10,True,0.0,0.0,1,1,0.0,-0.21818181818181814,end,trace_sub11.csv,RELIABLE
13,16,ObjectNavType/val/010940/raw_navigation_camera__0.mp4,['basketball.n.02'],False,153,71,82,81,80,True,0.0,0.0,1,1,0.0,-0.07272727272727275,end,trace_sub16.csv,RELIABLE
24,170,ObjectNavType/val/013641/raw_navigation_camera__0.mp4,['vase.n.01'],False,128,91,37,91,90,True,0.0,0.0,0.7090909090909091,0.7090909090909091,0.0,-0.29090909090909095,end,trace_sub170.csv,RELIABLE
46,71,ObjectNavType/val/012231/raw_navigation_camera__0.mp4,['bowl.n.03'],False,48,51,3,60,59,True,0.0,0.0,0.9636363636363636,0.9636363636363636,0.0,0.036363636363636376,end,trace_sub71.csv,RELIABLE
55,169,ObjectNavType/val/014423/raw_navigation_camera__0.mp4,['sofa.n.01'],False,136,94,42,71,1,False,0.0,0.0,0.0,0.0,1.0,1.0,end,trace_sub169.csv,RELIABLE
68,112,ObjectNavType/val/012953/raw_navigation_camera__0.mp4,['atomizer.n.01'],False,28,30,2,28,15,False,0.0,0.0,0.0,0.0,0.0,0.8909090909090909,end,trace_sub112.csv,RELIABLE
87,79,ObjectNavType/val/012793/raw_navigation_camera__0.mp4,['alarm_clock.n.01'],False,92,74,18,75,74,True,0.0,0.0,1,1,0.0,0,end,trace_sub79.csv,RELIABLE
110,159,ObjectNavType/val/013699/raw_navigation_camera__0.mp4,['laptop.n.01'],False,115,76,39,44,43,True,0.0,0.0,1,1,0.0,0,end,trace_sub159.csv,RELIABLE
117,159,ObjectNavType/val/013699/raw_navigation_camera__0.mp4,['laptop.n.01'],False,209,76,133,44,43,True,0.0,0.0,1,1,0.0,-0.8,end,trace_sub159.csv,RELIABLE
125,40,ObjectNavType/val/012080/raw_navigation_camera__0.mp4,['ashcan.n.01'],False,138,141,3,69,68,True,0.0,0.0,0.8545454545454545,0.8545454545454545,0.0,0.1454545454545455,end,trace_sub40.csv,RELIABLE
175,159,ObjectNavType/val/013699/raw_navigation_camera__0.mp4,['laptop.n.01'],False,143,76,67,44,43,True,0.0,0.0,1,1,0.0,0,end,trace_sub159.csv,RELIABLE
176,79,ObjectNavType/val/012793/raw_navigation_camera__0.mp4,['alarm_clock.n.01'],False,151,74,77,75,74,True,0.0,0.0,1,1,0.0,0,end,trace_sub79.csv,RELIABLE
196,63,ObjectNavType/val/012266/raw_navigation_camera__0.mp4,['atomizer.n.01'],False,158,78,80,79,78,True,0.0,0.0,1,1,0.0,0,end,trace_sub63.csv,RELIABLE
