role,sub_house_id,frames,p_end_step0,max_p_end_first5,max_p_end_before_end,p_end_at_end,delta_p_end,first_step_ge_0_5,first_step_ge_0_9
failure,0,8,0.0,0.0,0.0,1,1.0,7,7
control,7,73,0.0,0.0,0.05454545454545454,0.9636363636363636,0.9636363636363636,72,72
failure,3,53,0.0,0.0,0.05454545454545454,1,1.0,52,52
control,11,11,0.0,0.0,0.0,1,1.0,10,10
failure,4,187,0.0,0.0,0.09090909090909091,1,1.0,186,186
failure,6,47,0.0,0.0,0.0,0.7818181818181819,0.7818181818181819,46,
failure,13,179,0.0,0.0,0.2,0.9272727272727272,0.9272727272727272,178,178
control,16,81,0.0,0.0,0.2,1,1.0,80,80
failure,24,377,0.0,0.0,0.05454545454545454,0.41818181818181815,0.41818181818181815,,
control,170,91,0.0,0.0,0.0,0.7090909090909091,0.7090909090909091,90,
failure,46,184,0.0,0.0,0.2,1,1.0,183,183
control,71,60,0.0,0.0,0.0,0.9636363636363636,0.9636363636363636,59,59
failure,55,2,0.0,1,0.0,1,1.0,1,1
control,169,71,0.0,0.0,0.0,1,1.0,70,70
failure,68,16,0.0,0.0,0.0,0.8909090909090909,0.8909090909090909,15,
control,112,28,0.0,0.0,0.0,1,1.0,27,27
failure,87,136,0.0,0.0,0.0,1,1.0,135,135
control,79,75,0.0,0.0,0.0,1,1.0,74,74
failure,110,99,0.0,0.0,0.0,1,1.0,98,98
control,159,44,0.0,0.0,0.34545454545454546,1,1.0,43,43
failure,117,181,0.0,0.0,0.0,0.2,0.2,,
failure,125,197,0.0,0.0,0.0,1,1.0,196,196
control,40,69,0.0,0.0,0.0,0.8545454545454545,0.8545454545454545,68,
failure,175,131,0.0,0.0,0.2,1,1.0,130,130
failure,176,450,0.0,0.0,0.0,1,1.0,449,449
failure,196,113,0.0,0.0,0.12727272727272726,1,1.0,112,112
control,63,79,0.0,0.0,0.9272727272727272,1,1.0,77,77
