task_key,target_id,exact_equal,max_absolute_dimension_difference_m,max_relative_dimension_difference,max_absolute_geometry_difference_m,within_tolerance,status
ObjectNavType/val/000420/raw_navigation_camera__0.mp4,ObjaMilkshake|6|0,True,0.0,0.0,0.0,True,PASS
ObjectNavType/val/000420/raw_navigation_camera__0.mp4,ObjaMug|2|33,True,0.0,0.0,0.0,True,PASS
ObjectNavType/val/000714/raw_navigation_camera__0.mp4,ObjaMilkshake|6|1,True,0.0,0.0,0.0,True,PASS
ObjectNavType/val/001095/raw_navigation_camera__0.mp4,ObjaBasketball|2|0,True,0.0,0.0,0.0,True,PASS
ObjectNavType/val/001730/raw_navigation_camera__0.mp4,ObjaMilkshake|7|64,True,0.0,0.0,0.0,True,PASS
ObjectNavType/val/001852/raw_navigation_camera__0.mp4,ObjaMug|4|0,True,0.0,0.0,0.0,True,PASS
ObjectNavType/val/002819/raw_navigation_camera__0.mp4,ObjaBasketball|6|50,True,0.0,0.0,0.0,True,PASS
ObjectNavType/val/004110/raw_navigation_camera__0.mp4,BasketBall|4|1,True,0.0,0.0,0.0,True,PASS
ObjectNavType/val/010248/raw_navigation_camera__0.mp4,Vase|4|42,True,0.0,0.0,0.0,True,PASS
ObjectNavType/val/010248/raw_navigation_camera__0.mp4,Vase|6|67,True,0.0,0.0,0.0,True,PASS
ObjectNavType/val/010248/raw_navigation_camera__0.mp4,Vase|7|87,True,0.0,0.0,0.0,True,PASS
ObjectNavType/val/010248/raw_navigation_camera__0.mp4,Vase|8|98,True,0.0,0.0,0.0,True,PASS
ObjectNavType/val/010822/raw_navigation_camera__0.mp4,Vase|2|45,True,0.0,0.0,0.0,True,PASS
ObjectNavType/val/010822/raw_navigation_camera__0.mp4,Vase|6|20,True,0.0,0.0,0.0,True,PASS
ObjectNavType/val/010822/raw_navigation_camera__0.mp4,Vase|7|30,True,0.0,0.0,0.0,True,PASS
ObjectNavType/val/010846/raw_navigation_camera__0.mp4,SprayBottle|3|17,True,0.0,0.0,0.0,True,PASS
ObjectNavType/val/011059/raw_navigation_camera__0.mp4,Sofa|7|1,True,0.0,0.0,0.0,True,PASS
ObjectNavType/val/011097/raw_navigation_camera__0.mp4,Vase|2|38,True,0.0,0.0,0.0,True,PASS
