task_key,house_index,target_count,valid_aabb_count,complete,median_aabb_volume_m3,median_max_side_m,status
ObjectNavType/val/000420/raw_navigation_camera__0.mp4,420,2,2,True,0.0017450984349930206,0.148411363363266,COMPLETE_CREATION_STATE_GEOMETRY
ObjectNavType/val/000714/raw_navigation_camera__0.mp4,714,1,1,True,0.0021029407424371597,0.1765890121459961,COMPLETE_CREATION_STATE_GEOMETRY
ObjectNavType/val/001095/raw_navigation_camera__0.mp4,1095,1,1,True,0.012430440482133924,0.2359027862548828,COMPLETE_CREATION_STATE_GEOMETRY
ObjectNavType/val/001730/raw_navigation_camera__0.mp4,1730,1,1,True,0.0021029492601836093,0.1765897274017334,COMPLETE_CREATION_STATE_GEOMETRY
ObjectNavType/val/001852/raw_navigation_camera__0.mp4,1852,1,1,True,0.0005432851633828117,0.09588623046875,COMPLETE_CREATION_STATE_GEOMETRY
ObjectNavType/val/002819/raw_navigation_camera__0.mp4,2819,1,1,True,0.012430319201783507,0.2359018325805664,COMPLETE_CREATION_STATE_GEOMETRY
ObjectNavType/val/002986/raw_navigation_camera__0.mp4,2986,1,1,True,0.0006007854791749358,0.09742379188537598,COMPLETE_CREATION_STATE_GEOMETRY
ObjectNavType/val/004110/raw_navigation_camera__0.mp4,4110,1,1,True,0.013823990489956337,0.24000005424022675,COMPLETE_CREATION_STATE_GEOMETRY
ObjectNavType/val/004495/raw_navigation_camera__0.mp4,4495,1,1,True,0.0021029407424371597,0.1765890121459961,COMPLETE_CREATION_STATE_GEOMETRY
ObjectNavType/val/004526/raw_navigation_camera__0.mp4,4526,1,1,True,0.0003827038158245987,0.09050869941711426,COMPLETE_CREATION_STATE_GEOMETRY
ObjectNavType/val/005093/raw_navigation_camera__0.mp4,5093,1,1,True,0.00042734139332647504,0.0903921127319336,COMPLETE_CREATION_STATE_GEOMETRY
ObjectNavType/val/006954/raw_navigation_camera__0.mp4,6954,1,1,True,0.00210291905570488,0.1765890121459961,COMPLETE_CREATION_STATE_GEOMETRY
ObjectNavType/val/008027/raw_navigation_camera__0.mp4,8027,1,1,True,0.01243041455301698,0.2359023094177246,COMPLETE_CREATION_STATE_GEOMETRY
ObjectNavType/val/008224/raw_navigation_camera__0.mp4,8224,1,1,True,0.012430327067495675,0.23590087890625,COMPLETE_CREATION_STATE_GEOMETRY
ObjectNavType/val/008786/raw_navigation_camera__0.mp4,8786,1,1,True,0.013822654188434553,0.24026870727539062,COMPLETE_CREATION_STATE_GEOMETRY
ObjectNavType/val/008828/raw_navigation_camera__0.mp4,8828,1,1,True,0.0019501839175628706,0.14230728149414062,COMPLETE_CREATION_STATE_GEOMETRY
ObjectNavType/val/009839/raw_navigation_camera__0.mp4,9839,1,1,True,0.0004302626567415102,0.09368038177490234,COMPLETE_CREATION_STATE_GEOMETRY
ObjectNavType/val/009921/raw_navigation_camera__0.mp4,9921,1,1,True,0.012491818631971545,0.23645591735839844,COMPLETE_CREATION_STATE_GEOMETRY
ObjectNavType/val/010248/raw_navigation_camera__0.mp4,10248,4,4,True,0.006264516758810075,0.18848824501037598,COMPLETE_CREATION_STATE_GEOMETRY
ObjectNavType/val/010822/raw_navigation_camera__0.mp4,10822,3,3,True,0.006342472228393807,0.288472056388855,COMPLETE_CREATION_STATE_GEOMETRY
ObjectNavType/val/010846/raw_navigation_camera__0.mp4,10846,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/010940/raw_navigation_camera__0.mp4,10940,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/011033/raw_navigation_camera__0.mp4,11033,3,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/011059/raw_navigation_camera__0.mp4,11059,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
