target_synset,n,successes,sr,wilson95_low,wilson95_high,status
alarm_clock.n.01,,,,,,NOT_EXECUTED_METADATA_GATE_BLOCKED
apple.n.01,,,,,,NOT_EXECUTED_METADATA_GATE_BLOCKED
ashcan.n.01,,,,,,NOT_EXECUTED_METADATA_GATE_BLOCKED
atomizer.n.01,,,,,,NOT_EXECUTED_METADATA_GATE_BLOCKED
basketball.n.02,,,,,,NOT_EXECUTED_METADATA_GATE_BLOCKED
bed.n.01,,,,,,NOT_EXECUTED_METADATA_GATE_BLOCKED
bowl.n.03,,,,,,NOT_EXECUTED_METADATA_GATE_BLOCKED
houseplant.n.01,,,,,,NOT_EXECUTED_METADATA_GATE_BLOCKED
laptop.n.01,,,,,,NOT_EXECUTED_METADATA_GATE_BLOCKED
mug.n.04,,,,,,NOT_EXECUTED_METADATA_GATE_BLOCKED
sofa.n.01,,,,,,NOT_EXECUTED_METADATA_GATE_BLOCKED
straight_chair.n.01,,,,,,NOT_EXECUTED_METADATA_GATE_BLOCKED
television_receiver.n.01,,,,,,NOT_EXECUTED_METADATA_GATE_BLOCKED
toilet.n.02,,,,,,NOT_EXECUTED_METADATA_GATE_BLOCKED
vase.n.01,,,,,,NOT_EXECUTED_METADATA_GATE_BLOCKED
