frame,executed_action,move_ahead,rotate_right,rotate_left,move_back,done,sub_done,rotate_left_small,rotate_right_small
0,l,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,l,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,l,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,l,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,r,0.055,0.964,0.0,0.0,0.0,0.0,0.0,0.0
6,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,m,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,m,0.891,0.0,0.091,0.0,0.0,0.0,0.0,0.0
10,m,0.745,0.0,0.236,0.0,0.0,0.0,0.0,0.0
11,m,0.564,0.0,0.455,0.0,0.0,0.0,0.0,0.0
12,l,0.709,0.0,0.273,0.0,0.0,0.0,0.0,0.0
13,l,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,l,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,l,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,l,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,l,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,l,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,r,0.527,0.0,0.455,0.0,0.0,0.0,0.0,0.0
20,m,0.709,0.055,0.273,0.0,0.0,0.0,0.0,0.0
21,l,0.491,0.0,0.527,0.0,0.0,0.0,0.0,0.0
22,m,0.964,0.0,0.055,0.0,0.0,0.0,0.0,0.0
23,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,m,0.709,0.309,0.0,0.0,0.0,0.0,0.0,0.0
26,r,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,r,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
